Id,Label,timeset,partij
@@leendertdelange,@@leendertdelange,,vvd
@@poortvli,@@poortvli,,cda
@@sneller,@@sneller,,d66
@APechtold,@APechtold,,d66
@AgnesMulderCDA,@AgnesMulderCDA,,cda
@AnneKuik,@AnneKuik,,cda
@AntjeDiertens,@AntjeDiertens,,d66
@Antoinettelaan,@Antoinettelaan,,vvd
@AntoonKanis,@AntoonKanis,,sp
@ArneWeverling,@ArneWeverling,,vvd
@AvandenBoschVVD,@AvandenBoschVVD,,vvd
@BisschopRoelof,@BisschopRoelof,,sgp
@BramvanOjikGL,@BramvanOjikGL,,gl
@CemLacin,@CemLacin,,sp
@ChrisvanDam,,,cda
@CorinneEllemeet,@CorinneEllemeet,,gl
@CvanBrenk,@CvanBrenk,,50plus
@Danai_PVV,@Danai_PVV,,pvv
@DennisWiersma,@DennisWiersma,,vvd
@DilanYesilgoz,@DilanYesilgoz,,vvd
@EmielVanDijkPVV,@EmielVanDijkPVV,,pvv
@ErikRonnes,@ErikRonnes,,cda
@EvertJanSlootwe,@EvertJanSlootwe,,cda
@F_azarkan,@F_azarkan,,denk
@FemkeMerel,@FemkeMerel,,pvdd
@FleurAgemaPVV,@FleurAgemaPVV,,pvv
@FrankFutselaar,@FrankFutselaar,,sp
@GidiMarkuszower,@GidiMarkuszower,,pvv
@GraafdeMachiel,@GraafdeMachiel,,pvv
@GroothuizenD66,@GroothuizenD66,,d66
@HanTenBroeke,@HanTenBroeke,,vvd
@HankeBruinsSlot,@HankeBruinsSlot,,cda
@HaykeVeldman,@HaykeVeldman,,vvd
@HelmaLodders,@HelmaLodders,,vvd
@HenkKrol,@HenkKrol,,50plus
@HenkvGerven,@HenkvGerven,,sp
@HvSMartin,@HvSMartin,,50plus
@IsabelleDiks,@IsabelleDiks,,gl
@JTielenVVD,@JTielenVVD,,vvd
@JacoGeurts,@JacoGeurts,,cda
@Jan_Middendorp,@Jan_Middendorp,,vvd
@JaspervanDijkSP,@JaspervanDijkSP,,sp
@JeanineHennis,@JeanineHennis,,vvd
@JessicaVanEijs,@JessicaVanEijs,,d66
@JobaCDA,@JobaCDA,,cda
@JoelVoordewind,@JoelVoordewind,,cu
@JohnKerstens,@JohnKerstens,,pvda
@KarenGerbrands1,@KarenGerbrands1,,pvv
@Kathalijne,@Kathalijne,,gl
@KeesVee,@KeesVee,,d66
@KopsPVV,@KopsPVV,,pvv
@LammertvanRaan,@LammertvanRaan,,pvdd
@LauraBromet,@LauraBromet,,gl
@LeonieSazias,@LeonieSazias,,50plus
@Lisawesterveld,@Lisawesterveld,,gl
@LodewijkA,@LodewijkA,,pvda
@MaartenHijink,@MaartenHijink,,sp
@MadlenerBarry,,,pvv
@MahirAlkaya,@MahirAlkaya,,sp
@MalikAzmani,@MalikAzmani,,vvd
@MarijnissenL,@MarijnissenL,,sp
@Martijncda,@Martijncda,,cda
@Martinbosma_PVV,@Martinbosma_PVV,,pvv
@MatthijsSienot,@MatthijsSienot,,d66
@MichielvNispen,@MichielvNispen,,sp
@MustafaAmhaouch,@MustafaAmhaouch,,cda
@MvanToorenburg,@MvanToorenburg,,cda
@NevinOzutok,@NevinOzutok,,gl
@PaulSmeulders,@PaulSmeulders,,gl
@Paul_van_Meenen,@Paul_van_Meenen,,d66
@PieterHeerma,@PieterHeerma,,cda
@PieterOmtzigt,@PieterOmtzigt,,cda
@RenePetersOss,@RenePetersOss,,cda
@RenskeLeijten,@RenskeLeijten,,sp
@RidderDionGraus,@RidderDionGraus,,pvv
@RoaldLinde,@RoaldLinde,,vvd
@RobJetten,@RobJetten,,d66
@SadetKarabulut,@SadetKarabulut,,sp
@SalimaBelhaj,@SalimaBelhaj,,d66
@SandraBeckerman,@SandraBeckerman,,sp
@Sophie_Hermans,@Sophie_Hermans,,vvd
@StienekevdGraaf,@StienekevdGraaf,,cu
@SvenKoopmansVVD,@SvenKoopmansVVD,,vvd
@THiddema,@THiddema,,fvd
@TjeerdD66,@TjeerdD66,,d66
@TomvanderLee,@TomvanderLee,,gl
@Vera_Bergkamp,@Vera_Bergkamp,,d66
@VickyMaeijer,@VickyMaeijer,,pvv
@WassenbergFrank,@WassenbergFrank,,pvdd
@Worsdorfer,@Worsdorfer,,vvd
@ZelYassini,@ZelYassini,,vvd
@ZihniOzdil,@ZihniOzdil,,gl
@a_mulder,@a_mulder,,vvd
@achrafboualiD66,@achrafboualiD66,,d66
@andrebosman,@andrebosman,,vvd
@arnorutte,@arnorutte,,vvd
@attjekuiken,@attjekuiken,,pvda
@aukjedevries,@aukjedevries,,vvd
@bartsnels,@bartsnels,,gl
@bartvankent,@bartvankent,,sp
@bentebecker,@bentebecker,,vvd
@bvantwout,@bvantwout,,vvd
@carladikfaber,@carladikfaber,,cu
@chris_stoffer,@chris_stoffer,,sgp
@cnijkerken,@cnijkerken,,vvd
@danielkoerhuis,@danielkoerhuis,,vvd
@dijkhoff,@dijkhoff,,vvd
@dijkvangijs,@dijkvangijs,,pvda
@edgarmulder1,@edgarmulder1,,pvv
@eppobruins,@eppobruins,,cu
@erikziengs,@erikziengs,,vvd
@estherouwehand,@estherouwehand,,pvdd
@foortvanoosten,@foortvanoosten,,vvd
@geertwilderspvv,@geertwilderspvv,,pvv
@gertjansegers,@gertjansegers,,cu
@harmbeertema,@harmbeertema,,pvv
@harryvdmolen,@harryvdmolen,,cda
@henknijboer,@henknijboer,,pvda
@jesseklaver,@jesseklaver,,gl
@jpaternotte,@jpaternotte,,d66
@keesvdstaaij,@keesvdstaaij,,sgp
@khadijaArib,@khadijaArib,,pvda
@kirstenvdhul,@kirstenvdhul,,pvda
@leondejong,@leondejong,,pvv
@lilianhelderpvv,@lilianhelderpvv,,pvv
@mariannethieme,@mariannethieme,,pvdd
@michelrog,@michelrog,,cda
@ministerPloumen,@ministerPloumen,,pvda
@monicadenboer,@monicadenboer,,d66
@mvonmartels,@mvonmartels,,cda
@ockjetellegen,@ockjetellegen,,vvd
@peterkwint,@peterkwint,,sp
@piadijkstra,@piadijkstra,,d66
@r_deroonpvv,@r_deroonpvv,,pvv
@remcovvd,@remcovvd,,vvd
@rensraemakers,@rensraemakers,,d66
@rudmer,@rudmer,,vvd
@rvanaalst,@rvanaalst,,pvv
@selcukozturknl,@selcukozturknl,,denk
@suzanne_GL,@suzanne_GL,,gl
@svanweyenberg,@svanweyenberg,,d66
@swsjoerdsma,@swsjoerdsma,,d66
@sybrandbuma,@sybrandbuma,,cda
@thierrybaudet,@thierrybaudet,,fvd
@tunahankuzu,@tunahankuzu,,denk
@wimjanrenkema,@wimjanrenkema,,gl
@wmoorlag,@wmoorlag,,pvda
@wybrenvanhaga,@wybrenvanhaga,,vvd
